"DATE","TOTAL_CASES","NEW_CASES","TOTAL_CONFIRMED","NEW_CONFIRMED","TOTAL_PROBABLE","NEW_PROBABLE","POS_TESTS","NEW_POS_TESTS","NEG_TESTS","NEW_NEG_TESTS","TOTAL_TESTS","NEW_TESTS","NEW_DEATHS","TOTAL_DEATHS","NEW_HOSPITALIZED","TOTAL_HOSPITALIZED","TOTAL_DEATHS_BY_DOD","Region","Population","New_cases_per_100k_per_week","PositivityRate_per_week","Tests_per_100k","New_cases_per_100k","PositivityPercentage_per_week"
2023-11-18,166966,18,121227,10,45739,8,130514,11,592102,95,722616,106,0,1645,0,2958,1646,"Knox County",470313,NA,NA,22.5381820192085,3.82723845609201,NA
2023-11-17,166948,73,121217,66,45731,7,130503,66,592007,317,722510,383,1,1645,0,2958,1646,"Knox County",470313,NA,NA,81.435129371291,15.5215781830398,NA
2023-11-16,166875,38,121151,21,45724,17,130437,21,591690,96,722127,117,0,1644,0,2958,1646,"Knox County",470313,NA,NA,24.877049964598,8.07972562952757,NA
2023-11-15,166837,38,121130,24,45707,14,130416,24,591594,143,722010,167,3,1644,0,2958,1646,"Knox County",470313,NA,NA,35.508267898187,8.07972562952757,NA
2023-11-14,166799,47,121106,24,45693,23,130392,26,591451,107,721843,133,0,1641,0,2958,1646,"Knox County",470313,NA,NA,28.2790397033465,9.99334485757357,NA
2023-11-13,166752,72,121082,49,45670,23,130366,52,591344,197,721710,249,0,1641,0,2958,1646,"Knox County",470313,NA,NA,52.9434653092728,15.308953824368,NA
2023-11-12,166680,22,121033,15,45647,7,130314,15,591147,149,721461,164,0,1641,0,2958,1646,"Knox County",470313,65.4883024709077,0.163002274450341,34.8703948221716,4.67773589077912,16.3002274450341
2023-11-11,166658,24,121018,16,45640,8,130299,16,590998,64,721297,80,0,1641,0,2958,1646,"Knox County",470313,66.7640486229383,0.17014694508894,17.0099486937423,5.10298460812268,17.014694508894
2023-11-10,166634,35,121002,13,45632,22,130283,13,590934,102,721217,115,0,1641,0,2958,1646,"Knox County",470313,58.6843229934108,0.162926829268293,24.4518012472545,7.44185255351224,16.2926829268293
2023-11-09,166599,63,120989,39,45610,24,130270,37,590832,161,721102,198,0,1641,0,2958,1646,"Knox County",470313,63.9999319602052,0.165461121157324,42.0996230170121,13.395334596322,16.5461121157324
2023-11-08,166536,54,120950,32,45586,22,130233,32,590671,147,720904,179,0,1641,0,2958,1646,"Knox County",470313,67.4019216989537,0.170840787119857,38.0597602022483,11.481715368276,17.0840787119857
2023-11-07,166482,58,120918,28,45564,30,130201,29,590524,72,720725,101,0,1641,0,2958,1646,"Knox County",470313,69.7407896443432,0.178637200736648,21.4750602258496,12.3322128029631,17.8637200736648
2023-11-06,166424,35,120890,13,45534,22,130172,15,590452,81,720624,96,0,1641,0,2958,1646,"Knox County",470313,61.8736883734874,0.168274383708467,20.4119384324907,7.44185255351224,16.8274383708467
2023-11-05,166389,12,120877,5,45512,7,130157,5,590371,72,720528,77,0,1641,0,2958,1646,"Knox County",470313,59.7474447867697,0.173758865248227,16.3720756177269,2.55149230406134,17.3758865248227
2023-11-04,166377,21,120872,11,45505,10,130152,11,590299,94,720451,105,0,1641,0,2958,1646,"Knox County",470313,59.1095717107543,0.163030998851894,22.3255576605367,4.46511153210734,16.3030998851894
2023-11-03,166356,46,120861,27,45495,19,130141,26,590205,94,720346,120,0,1641,0,2958,1646,"Knox County",470313,61.4484396561439,0.176940639269406,25.5149230406134,9.7807204989018,17.6940639269406
2023-11-02,166310,39,120834,19,45476,20,130115,16,590111,99,720226,115,0,1641,0,2958,1646,"Knox County",470313,56.3454550480212,0.168978562421185,24.4518012472545,8.29234998819935,16.8978562421185
2023-11-01,166271,53,120815,35,45456,18,130099,35,590012,153,720111,188,1,1641,0,2958,1646,"Knox County",470313,56.1328306893494,0.170822942643392,39.9733794302943,11.2690910096042,17.0822942643392
2023-10-31,166218,34,120780,20,45438,14,130064,21,589859,64,719923,85,0,1640,0,2958,1646,"Knox County",470313,51.0298460812268,0.16412213740458,18.0730704871011,7.22922819484046,16.412213740458
2023-10-30,166184,40,120760,21,45424,19,130043,20,589795,73,719838,93,4,1640,0,2958,1646,"Knox County",470313,52.0929678745856,0.171136653895275,19.7740653564754,8.50497434687113,17.1136653895275
2023-10-29,166144,15,120739,7,45405,8,130023,8,589722,31,719745,39,0,1636,0,2958,1646,"Knox County",470313,52.730840950601,0.183892617449664,8.29234998819935,3.18936538007667,18.3892617449664
2023-10-28,166129,16,120732,4,45397,12,130015,5,589691,34,719706,39,0,1636,0,2958,1646,"Knox County",470313,51.6677191572421,0.192930780559647,8.29234998819935,3.40198973874845,19.2930780559647
2023-10-27,166113,50,120728,24,45385,26,130010,24,589657,136,719667,160,0,1636,0,2958,1646,"Knox County",470313,52.5182165919292,0.179415855354659,34.0198973874845,10.6312179335889,17.9415855354659
2023-10-26,166063,84,120704,48,45359,36,129986,49,589521,164,719507,213,0,1636,0,2958,1646,"Knox County",470313,62.0863127321592,0.19828641370869,45.2889883970888,17.8604461284294,19.828641370869
2023-10-25,165979,33,120656,20,45323,13,129937,22,589357,93,719294,115,0,1636,0,2958,1646,"Knox County",470313,57.8338255587237,0.200268817204301,24.4518012472545,7.01660383616868,20.0268817204301
2023-10-24,165946,44,120636,29,45310,15,129915,28,589264,94,719179,122,0,1636,0,2958,1646,"Knox County",470313,59.9600691454414,0.199743918053777,25.9401717579569,9.35547178155824,19.9743918053777
2023-10-23,165902,35,120607,11,45295,24,129887,11,589170,51,719057,62,0,1636,0,2958,1646,"Knox County",470313,58.8969473520825,0.196,13.1827102376502,7.44185255351224,19.6
2023-10-22,165867,19,120596,11,45271,8,129876,12,589119,93,718995,105,0,1636,0,2958,1646,"Knox County",470313,59.7474447867697,0.185049019607843,22.3255576605367,4.03986281476378,18.5049019607843
2023-10-21,165848,12,120585,4,45263,8,129864,4,589026,42,718890,46,0,1636,0,2958,1646,"Knox County",470313,58.8969473520825,0.182260024301337,9.7807204989018,2.55149230406134,18.2260024301337
2023-10-20,165836,27,120581,11,45255,16,129860,9,588984,65,718844,74,0,1636,0,2958,1646,"Knox County",470313,54.0065871026316,0.183175033921303,15.7342025417116,5.74085768413801,18.3175033921303
2023-10-19,165809,51,120570,31,45239,20,129851,31,588919,160,718770,191,1,1636,0,2958,1646,"Knox County",470313,46.989983266463,0.163636363636364,40.6112525063096,10.8438422922607,16.3636363636364
2023-10-18,165758,26,120539,17,45219,9,129820,18,588759,88,718579,106,0,1635,1,2958,1646,"Knox County",470313,45.5016127557605,0.160056657223796,22.5381820192085,5.52823332546623,16.0056657223796
2023-10-17,165732,18,120522,10,45210,8,129802,10,588671,84,718473,94,0,1635,0,2957,1646,"Knox County",470313,39.9733794302943,0.140117994100295,19.9866897151471,3.82723845609201,14.0117994100295
2023-10-16,165714,16,120512,10,45202,6,129792,11,588587,51,718379,62,0,1635,0,2957,1645,"Knox County",470313,35.9335166155305,0.140117994100295,13.1827102376502,3.40198973874845,14.0117994100295
2023-10-15,165698,13,120502,7,45196,6,129781,7,588536,40,718317,47,0,1635,0,2957,1645,"Knox County",470313,34.6577704634998,0.145161290322581,9.99334485757357,2.76411666273312,14.5161290322581
2023-10-14,165685,8,120495,4,45190,4,129774,3,588496,39,718270,42,0,1635,0,2957,1645,"Knox County",470313,33.8072730288127,0.14448051948052,8.93022306421468,1.70099486937423,14.448051948052
2023-10-13,165677,38,120491,23,45186,15,129771,21,588457,81,718228,102,0,1635,0,2957,1645,"Knox County",470313,36.1461409742023,0.156832298136646,21.6876845845214,8.07972562952757,15.6832298136646
2023-10-12,165639,32,120468,22,45171,10,129750,23,588376,145,718126,168,0,1635,0,2957,1645,"Knox County",470313,32.1062781594385,0.14975845410628,35.7208922568587,6.8039794774969,14.975845410628
2023-10-11,165607,33,120446,18,45161,15,129727,18,588231,105,717958,123,1,1635,0,2957,1645,"Knox County",470313,33.594648670141,0.14576802507837,26.1527961166287,7.01660383616868,14.576802507837
2023-10-10,165574,36,120428,20,45146,16,129709,22,588126,101,717835,123,0,1634,1,2957,1645,"Knox County",470313,37.421887126233,0.157421289355322,26.1527961166287,7.65447691218401,15.7421289355322
2023-10-09,165538,28,120408,15,45130,13,129687,15,588025,62,717712,77,0,1634,0,2956,1645,"Knox County",470313,39.9733794302943,0.159824046920821,16.3720756177269,5.95348204280979,15.9824046920821
2023-10-08,165510,20,120393,17,45117,3,129672,18,587963,56,717635,74,0,1634,0,2956,1645,"Knox County",470313,41.4617499409967,0.169252468265162,15.7342025417116,4.25248717343556,16.9252468265162
2023-10-07,165490,10,120376,7,45114,3,129654,7,587907,62,717561,69,0,1634,0,2956,1645,"Knox County",470313,41.8869986583403,0.168478260869565,14.6710807483527,2.12624358671778,16.8478260869565
2023-10-06,165480,26,120369,13,45111,13,129647,13,587845,51,717492,64,0,1634,0,2956,1645,"Knox County",470313,39.335506354279,0.166189111747851,13.6079589549938,5.52823332546623,16.6189111747851
2023-10-05,165454,52,120356,35,45098,17,129634,36,587794,159,717428,195,0,1634,0,2956,1645,"Knox County",470313,43.5879935277145,0.177931034482759,41.4617499409967,11.0564666509325,17.7931034482759
2023-10-04,165402,36,120321,21,45081,15,129598,22,587635,110,717233,132,1,1634,0,2956,1645,"Knox County",470313,44.2258666037299,0.181198910081744,28.0664153446747,7.65447691218401,18.1198910081744
2023-10-03,165366,30,120300,12,45066,18,129576,12,587525,55,717101,67,1,1633,0,2956,1645,"Knox County",470313,42.9501204516992,0.18141592920354,14.2458320310091,6.37873076015334,18.141592920354
2023-10-02,165336,37,120288,21,45048,16,129564,21,587470,75,717034,96,1,1632,0,2956,1645,"Knox County",470313,44.8637396797452,0.185078909612626,20.4119384324907,7.86710127085579,18.5078909612626
2023-10-01,165299,38,120267,22,45032,16,129543,24,587395,105,716938,129,0,1631,0,2956,1645,"Knox County",470313,48.6909781358372,0.179521276595745,27.4285422686594,8.07972562952757,17.9521276595745
2023-09-30,165261,0,120245,0,45016,0,129519,0,587290,0,716809,0,0,1631,0,2956,1645,"Knox County",470313,46.5647345491194,0.187408491947291,0,0,18.7408491947291
2023-09-29,165261,29,120245,20,45016,9,129519,20,587290,127,716809,147,0,1631,0,2956,1644,"Knox County",470313,47.2026076251348,0.176240208877285,31.2557807247514,6.16610640148157,17.6240208877285
2023-09-28,165232,28,120225,18,45007,10,129499,18,587163,118,716662,136,1,1631,0,2956,1643,"Knox County",470313,42.0996230170121,0.165487977369165,28.9169127793618,5.95348204280979,16.5487977369165
2023-09-27,165204,42,120207,28,44997,14,129481,29,587045,148,716526,177,4,1630,0,2956,1643,"Knox County",470313,43.3753691690427,0.164893617021277,37.6345114849047,8.93022306421468,16.4893617021277
2023-09-26,165162,51,120179,24,44983,27,129452,25,586897,91,716349,116,1,1626,0,2956,1643,"Knox County",470313,47.8404807011501,0.17103620474407,24.6644256059263,10.8438422922607,17.103620474407
2023-09-25,165111,52,120155,20,44956,32,129427,20,586806,54,716233,74,0,1625,0,2956,1643,"Knox County",470313,51.0298460812268,0.174582798459564,15.7342025417116,11.0564666509325,17.4582798459564
2023-09-24,165059,52,120135,22,44924,30,129407,22,586752,95,716159,117,0,1625,0,2956,1643,"Knox County",470313,54.0065871026316,0.17470664928292,24.877049964598,11.0564666509325,17.470664928292
2023-09-23,165007,0,120113,0,44894,0,129385,0,586657,0,716042,0,0,1625,0,2956,1641,"Knox County",470313,54.0065871026316,0.17470664928292,0,0,17.470664928292
2023-09-22,165007,28,120113,11,44894,17,129385,11,586657,60,716042,71,0,1625,0,2956,1641,"Knox County",470313,53.7939627439599,0.180897250361794,15.0963294656962,5.95348204280979,18.0897250361794
2023-09-21,164979,56,120102,36,44877,20,129374,37,586597,143,715971,180,0,1625,0,2956,1641,"Knox County",470313,59.7474447867697,0.195918367346939,38.2723845609201,11.9069640856196,19.5918367346939
2023-09-20,164923,48,120066,23,44857,25,129337,23,586454,152,715791,175,0,1625,0,2956,1641,"Knox County",470313,61.0231909388003,0.188267394270123,37.2092627675612,10.2059692162454,18.8267394270123
2023-09-19,164875,72,120043,34,44832,38,129314,36,586302,143,715616,179,0,1625,0,2956,1641,"Knox County",470313,65.4883024709077,0.187185929648241,38.0597602022483,15.308953824368,18.7185929648241
2023-09-18,164803,40,120009,20,44794,20,129278,21,586159,66,715437,87,0,1625,0,2956,1639,"Knox County",470313,62.9368101668463,0.185414091470952,18.4983192044447,8.50497434687113,18.5414091470952
2023-09-17,164763,43,119989,27,44774,16,129257,29,586093,112,715350,141,0,1625,0,2956,1639,"Knox County",470313,61.0231909388003,0.188475390156062,29.9800345727207,9.14284742288646,18.8475390156062
2023-09-16,164720,0,119962,0,44758,0,129228,0,585981,0,715209,0,0,1625,0,2956,1637,"Knox County",470313,61.0231909388003,0.188475390156062,0,0,18.8475390156062
2023-09-15,164720,30,119962,10,44758,20,129228,11,585981,61,715209,72,0,1625,0,2956,1637,"Knox County",470313,61.4484396561439,0.188249400479616,15.308953824368,6.37873076015334,18.8249400479616
2023-09-14,164690,36,119952,15,44738,21,129217,15,585920,82,715137,97,0,1625,1,2956,1636,"Knox County",470313,57.1959524827083,0.179760319573901,20.6245627911625,7.65447691218401,17.9760319573901
2023-09-13,164654,94,119937,55,44717,39,129202,56,585838,206,715040,262,2,1625,0,2955,1636,"Knox County",470313,66.9766729816101,0.200477326968974,55.7075819720059,19.9866897151471,20.0477326968974
2023-09-12,164560,59,119882,28,44678,31,129146,28,585632,83,714778,111,0,1623,2,2955,1636,"Knox County",470313,64.212556318877,0.207792207792208,23.6013038125674,12.5448371616349,20.7792207792208
2023-09-11,164501,137,119854,61,44647,76,129118,74,585549,245,714667,319,0,1623,1,2953,1636,"Knox County",470313,84.8371191100395,0.212574850299401,67.8271704162972,29.1295371380336,21.2574850299401
2023-09-10,164364,0,119793,0,44571,0,129044,0,585304,0,714348,0,0,1623,0,2952,1636,"Knox County",470313,75.694271687153,0.213704994192799,0,0,21.3704994192799
2023-09-09,164364,0,119793,0,44571,0,129044,0,585304,0,714348,0,0,1623,0,2952,1635,"Knox County",470313,75.694271687153,0.213704994192799,0,0,21.3704994192799
2023-09-08,164364,60,119793,28,44571,32,129044,29,585304,85,714348,114,0,1623,0,2952,1635,"Knox County",470313,82.0730024473064,0.223698781838317,24.2391768885827,12.7574615203067,22.3698781838317
2023-09-07,164304,87,119765,61,44539,26,129015,63,585219,221,714234,284,0,1623,0,2952,1635,"Knox County",470313,92.916844739567,0.229357798165138,60.385317862785,18.4983192044447,22.9357798165138
2023-09-06,164217,88,119704,39,44513,49,128952,42,584998,158,713950,200,5,1623,0,2952,1634,"Knox County",470313,91.6410985875364,0.229571984435798,42.5248717343556,18.7109435631165,22.9571984435798
2023-09-05,164129,78,119665,43,44464,35,128910,43,584840,128,713750,171,0,1618,0,2952,1634,"Knox County",470313,95.6809614023002,0.230698529411765,36.3587653328741,16.5846999763987,23.0698529411765
2023-09-04,164051,38,119622,25,44429,13,128867,25,584712,85,713579,110,0,1618,0,2952,1634,"Knox County",470313,74.6311498937941,0.229806598407281,23.3886794538956,8.07972562952757,22.9806598407281
2023-09-03,164013,25,119597,11,44416,14,128842,11,584627,49,713469,60,0,1618,1,2952,1634,"Knox County",470313,79.9467588605886,0.226837060702875,12.7574615203067,5.31560896679445,22.6837060702875
2023-09-02,163988,28,119586,18,44402,10,128831,21,584578,74,713409,95,0,1618,0,2951,1634,"Knox County",470313,85.9002409033984,0.226305609284333,20.1993140738189,5.95348204280979,22.6305609284333
2023-09-01,163960,73,119568,51,44392,22,128810,49,584504,153,713314,202,0,1618,0,2951,1633,"Knox County",470313,88.6643575661315,0.226381461675579,42.9501204516992,15.5215781830398,22.6381461675579
2023-08-31,163887,103,119517,69,44370,34,128761,70,584351,137,713112,207,0,1618,1,2951,1633,"Knox County",470313,92.0663473048799,0.249760765550239,44.0132422450581,21.9003089431931,24.9760765550239
2023-08-30,163784,68,119448,30,44336,38,128691,30,584214,99,712905,129,0,1618,0,2950,1633,"Knox County",470313,87.8138601314444,0.25564681724846,27.4285422686594,14.4584563896809,25.564681724846
2023-08-29,163716,66,119418,45,44298,21,128661,45,584115,111,712776,156,0,1618,0,2950,1633,"Knox County",470313,85.262367827383,0.261730969760167,33.1693999527974,14.0332076723374,26.1730969760167
2023-08-28,163650,78,119373,42,44277,36,128616,42,584004,83,712620,125,0,1618,1,2950,1633,"Knox County",470313,93.7673421742542,0.275154004106776,26.5780448339723,16.5846999763987,27.5154004106776
2023-08-27,163572,31,119331,12,44241,19,128574,12,583921,61,712495,73,0,1618,0,2949,1633,"Knox County",470313,95.0430883262848,0.272543059777102,15.5215781830398,6.59135511882512,27.2543059777102
2023-08-26,163541,34,119319,10,44222,24,128562,10,583860,48,712422,58,0,1618,0,2949,1631,"Knox County",470313,96.3188344783155,0.271578947368421,12.3322128029631,7.22922819484046,27.1578947368421
2023-08-25,163507,99,119309,50,44198,49,128552,50,583812,117,712364,167,0,1618,0,2949,1631,"Knox County",470313,101.847067803782,0.283060109289618,35.508267898187,21.049811508506,28.3060109289618
2023-08-24,163408,85,119259,60,44149,25,128502,60,583695,221,712197,281,-2,1618,0,2949,1628,"Knox County",470313,98.0198293476897,0.251769464105157,59.7474447867697,18.0730704871011,25.1769464105157
2023-08-23,163323,75,119199,41,44124,34,128442,41,583474,133,711916,174,0,1620,0,2949,1627,"Knox County",470313,99.5081998583922,0.251450676982592,36.9966384088894,15.9468269003834,25.1450676982592
2023-08-22,163248,68,119158,38,44090,30,128401,38,583341,90,711742,128,0,1620,0,2949,1627,"Knox County",470313,99.9334485757357,0.251491053677932,27.2159179099876,14.4584563896809,25.1491053677932
2023-08-21,163180,56,119120,26,44060,30,128363,26,583251,60,711614,86,0,1620,0,2949,1627,"Knox County",470313,95.2557126849566,0.245087900723888,18.2856948457729,11.9069640856196,24.5087900723888
2023-08-20,163124,23,119094,12,44030,11,128337,12,583191,37,711528,49,0,1620,1,2949,1627,"Knox County",470313,93.5547178155824,0.251325556733828,10.4185935749171,4.8903602494509,25.1325556733828
2023-08-19,163101,48,119082,25,44019,23,128325,25,583154,78,711479,103,0,1620,1,2948,1627,"Knox County",470313,96.5314588369873,0.255060728744939,21.9003089431931,10.2059692162454,25.5060728744939
2023-08-18,163053,68,119057,43,43996,25,128300,46,583076,133,711376,179,0,1620,0,2947,1627,"Knox County",470313,89.9401037181622,0.248,38.0597602022483,14.4584563896809,24.8
2023-08-17,162985,45,119014,29,43971,16,128254,30,582943,111,711197,141,0,1620,1,2947,1627,"Knox County",470313,81.435129371291,0.253488372093023,29.9800345727207,9.56809614023002,25.3488372093023
2023-08-16,162940,29,118985,23,43955,6,128224,24,582832,57,711056,81,0,1620,0,2946,1626,"Knox County",470313,71.6544088723892,0.262059973924381,17.222573052414,6.16610640148157,26.2059973924381
2023-08-15,162911,50,118962,26,43949,24,128200,26,582775,78,710975,104,0,1620,0,2946,1626,"Knox County",470313,67.8271704162972,0.254374158815612,22.1129333018649,10.6312179335889,25.4374158815612
2023-08-14,162861,55,118936,27,43925,28,128174,26,582697,51,710871,77,1,1620,0,2946,1626,"Knox County",470313,67.6145460576255,0.257493188010899,16.3720756177269,11.6943397269478,25.7493188010899
2023-08-13,162806,19,118909,9,43897,10,128148,9,582646,25,710794,34,0,1619,1,2946,1626,"Knox County",470313,66.7640486229383,0.258692628650904,7.22922819484046,4.03986281476378,25.8692628650904
2023-08-12,162787,32,118900,19,43887,13,128139,19,582621,51,710760,70,0,1619,0,2945,1626,"Knox County",470313,63.3620588841899,0.262390670553936,14.8837051070245,6.8039794774969,26.2390670553936
2023-08-11,162755,24,118881,8,43874,16,128120,8,582570,41,710690,49,0,1619,0,2945,1626,"Knox County",470313,54.0065871026316,0.255395683453237,10.4185935749171,5.10298460812268,25.5395683453237
2023-08-10,162731,35,118873,21,43858,14,128112,21,582529,51,710641,72,0,1619,1,2945,1626,"Knox County",470313,51.8803435159139,0.273100616016427,15.308953824368,7.44185255351224,27.3100616016427
2023-08-09,162696,34,118852,25,43844,9,128091,25,582478,107,710569,132,0,1619,0,2944,1626,"Knox County",470313,52.9434653092728,0.24907063197026,28.0664153446747,7.22922819484046,24.907063197026
2023-08-08,162662,31,118827,13,43835,18,128066,13,582371,51,710437,64,0,1619,0,2944,1626,"Knox County",470313,48.903602494509,0.242971887550201,13.6079589549938,6.59135511882512,24.2971887550201
2023-08-07,162631,35,118814,19,43817,16,128053,19,582320,32,710373,51,0,1619,0,2944,1626,"Knox County",470313,44.6511153210734,0.241525423728814,10.8438422922607,7.44185255351224,24.1525423728814
2023-08-06,162596,15,118795,12,43801,3,128034,12,582288,27,710322,39,0,1619,0,2944,1626,"Knox County",470313,43.8006178863863,0.245283018867925,8.29234998819935,3.18936538007667,24.5283018867925
2023-08-05,162581,20,118783,17,43798,3,128022,18,582261,35,710283,53,0,1619,0,2944,1626,"Knox County",470313,41.249125582325,0.252173913043478,11.2690910096042,4.25248717343556,25.2173913043478
2023-08-04,162561,31,118766,19,43795,12,128004,19,582226,113,710230,132,0,1619,0,2944,1626,"Knox County",470313,42.7374960930274,0.233885819521179,28.0664153446747,6.59135511882512,23.3885819521179
2023-08-03,162530,35,118747,11,43783,24,127985,11,582113,43,710098,54,0,1619,1,2944,1626,"Knox County",470313,42.7374960930274,0.222857142857143,11.481715368276,7.44185255351224,22.2857142857143
2023-08-02,162495,20,118736,12,43759,8,127974,12,582070,38,710044,50,0,1619,1,2943,1626,"Knox County",470313,39.7607550716225,0.234762979683973,10.6312179335889,4.25248717343556,23.4762979683973
2023-08-01,162475,39,118724,24,43751,15,127962,24,582032,40,709994,64,1,1619,0,2942,1626,"Knox County",470313,41.4617499409967,0.259593679458239,13.6079589549938,8.29234998819935,25.9593679458239
2023-07-31,162436,16,118700,4,43736,12,127938,4,581992,41,709930,45,0,1618,0,2942,1626,"Knox County",470313,37.421887126233,0.22883295194508,9.56809614023002,3.40198973874845,22.883295194508
2023-07-30,162420,11,118696,5,43724,6,127934,4,581951,26,709885,30,0,1618,0,2942,1625,"Knox County",470313,36.5713896915458,0.214953271028037,6.37873076015334,2.33886794538956,21.4953271028037
2023-07-29,162409,10,118691,8,43718,2,127930,8,581925,28,709855,36,0,1618,0,2942,1625,"Knox County",470313,34.4451461048281,0.199513381995134,7.65447691218401,2.12624358671778,19.9513381995134
2023-07-28,162399,35,118683,26,43716,9,127922,27,581897,87,709819,114,0,1618,0,2942,1625,"Knox County",470313,35.2956435395152,0.229007633587786,24.2391768885827,7.44185255351224,22.9007633587786
2023-07-27,162364,25,118657,14,43707,11,127895,12,581810,35,709705,47,0,1618,0,2942,1625,"Knox County",470313,33.1693999527974,0.235751295336788,9.99334485757357,5.31560896679445,23.5751295336788
2023-07-26,162339,23,118643,16,43696,7,127883,15,581775,72,709658,87,0,1618,0,2942,1625,"Knox County",470313,33.8072730288127,0.222222222222222,18.4983192044447,4.8903602494509,22.2222222222222
2023-07-25,162316,25,118627,13,43689,12,127868,14,581703,41,709571,55,0,1618,0,2942,1625,"Knox County",470313,30.8305320074078,0.202898550724638,11.6943397269478,5.31560896679445,20.2898550724638
2023-07-24,162291,16,118614,10,43677,6,127854,9,581662,22,709516,31,0,1618,0,2942,1625,"Knox County",470313,30.8305320074078,0.2225,6.59135511882512,3.40198973874845,22.25
2023-07-23,162275,16,118604,12,43671,4,127845,12,581640,38,709485,50,0,1618,0,2942,1624,"Knox County",470313,31.8936538007667,0.230952380952381,10.6312179335889,3.40198973874845,23.0952380952381
2023-07-22,162259,8,118592,3,43667,5,127833,3,581602,20,709435,23,0,1618,0,2942,1624,"Knox County",470313,31.4684050834232,0.226044226044226,4.8903602494509,1.70099486937423,22.6044226044226
2023-07-21,162251,26,118589,11,43662,15,127830,12,581582,32,709412,44,0,1618,0,2942,1624,"Knox County",470313,29.5547858553772,0.228486646884273,9.35547178155824,5.52823332546623,22.8486646884273
2023-07-20,162225,19,118578,13,43647,6,127818,12,581550,27,709368,39,0,1618,1,2942,1624,"Knox County",470313,28.2790397033465,0.234042553191489,8.29234998819935,4.03986281476378,23.4042553191489
2023-07-19,162206,17,118565,12,43641,5,127806,12,581523,39,709329,51,0,1618,0,2941,1624,"Knox County",470313,27.0032935513158,0.252559726962457,10.8438422922607,3.61461409742023,25.2559726962457
2023-07-18,162189,24,118553,14,43636,10,127794,14,581484,123,709278,137,0,1618,0,2941,1624,"Knox County",470313,26.790669192644,0.197333333333333,29.1295371380336,5.10298460812268,19.7333333333333
2023-07-17,162165,24,118539,11,43626,13,127780,11,581361,38,709141,49,0,1618,0,2941,1624,"Knox County",470313,28.4916640620183,0.193384223918575,10.4185935749171,5.10298460812268,19.3384223918575
2023-07-16,162141,6,118528,4,43613,2,127769,4,581323,26,709092,30,0,1618,0,2941,1624,"Knox County",470313,26.3654204753005,0.18230563002681,6.37873076015334,1.27574615203067,18.230563002681
2023-07-15,162135,8,118524,5,43611,3,127765,5,581297,28,709062,33,0,1618,0,2941,1624,"Knox County",470313,26.3654204753005,0.182767624020888,7.01660383616868,1.70099486937423,18.2767624020888
2023-07-14,162127,12,118519,5,43608,7,127760,5,581269,28,709029,33,0,1618,0,2941,1624,"Knox County",470313,23.3886794538956,0.169354838709677,7.01660383616868,2.55149230406134,16.9354838709677
2023-07-13,162115,9,118514,3,43601,6,127755,5,581241,32,708996,37,1,1618,0,2941,1624,"Knox County",470313,21.2624358671778,0.151351351351351,7.86710127085579,1.913619228046,15.1351351351351
2023-07-12,162106,4,118511,2,43595,2,127750,2,581209,26,708959,28,0,1617,0,2941,1624,"Knox County",470313,18.4983192044447,0.132564841498559,5.95348204280979,0.850497434687113,13.2564841498559
2023-07-11,162102,5,118509,4,43593,1,127748,4,581183,36,708931,40,0,1617,0,2941,1624,"Knox County",470313,14.4584563896809,0.144,8.50497434687113,1.06312179335889,14.4
2023-07-10,162097,9,118505,3,43592,6,127744,3,581147,26,708891,29,0,1617,0,2941,1624,"Knox County",470313,11.2690910096042,0.121739130434783,6.16610640148157,1.913619228046,12.1739130434783
2023-07-09,162088,4,118502,3,43586,1,127741,4,581121,24,708862,28,0,1617,0,2941,1624,"Knox County",470313,10.8438422922607,0.12280701754386,5.95348204280979,0.850497434687113,12.280701754386
2023-07-08,162084,3,118499,0,43585,3,127737,0,581097,24,708834,24,0,1617,0,2941,1624,"Knox County",470313,9.7807204989018,0.105022831050228,5.10298460812268,0.637873076015334,10.5022831050228
2023-07-07,162081,9,118499,4,43582,5,127737,5,581073,39,708810,44,0,1617,0,2941,1624,"Knox County",470313,9.14284742288646,0.1,9.35547178155824,1.913619228046,10
2023-07-06,162072,6,118495,3,43577,3,127732,3,581034,37,708766,40,0,1617,0,2941,1624,"Knox County",470313,8.50497434687113,0.0901287553648069,8.50497434687113,1.27574615203067,9.01287553648069
2023-07-05,162066,14,118492,8,43574,6,127729,10,580997,56,708726,66,0,1617,0,2941,1624,"Knox County",470313,10.6312179335889,0.107011070110701,14.0332076723374,2.97674102140489,10.7011070110701
2023-07-04,162052,8,118484,5,43568,3,127719,6,580941,29,708660,35,0,1617,0,2941,1623,"Knox County",470313,11.2690910096042,0.116541353383459,7.44185255351224,1.70099486937423,11.6541353383459
2023-07-03,162044,13,118479,10,43565,3,127713,9,580912,30,708625,39,0,1617,0,2941,1623,"Knox County",470313,12.1195884442914,0.134057971014493,8.29234998819935,2.76411666273312,13.4057971014493
2023-07-02,162031,6,118469,2,43562,4,127704,2,580882,22,708586,24,0,1617,0,2941,1623,"Knox County",470313,12.5448371616349,0.128676470588235,5.10298460812268,1.27574615203067,12.8676470588235
2023-07-01,162025,2,118467,2,43558,0,127702,2,580860,19,708562,21,0,1617,0,2941,1623,"Knox County",470313,12.3322128029631,0.137546468401487,4.46511153210734,0.425248717343556,13.7546468401487
