"County","State","Community_Transmission_Level","Percent_Fully_Vaccinated","Percent_Fully_Vaccinated_Under_65","Percent_Estimated_Vaccination_Hesitant","Percent_Estimated_Vaccination_Strongly_Hesitant","Percent_State_ICU_Beds_Filled","Percent_County_ICU_Beds_Filled","Population","FIPS","Vaccination_Data_Is_For_County","Area_of_Concern_Category"
"Allegan","MI",NA,52,45.4369956928855,10.72,6.64,73,48,118081,26005,TRUE,"ModerateBurden"
"Fluvanna","VA",NA,62.2,56.091577199291,6.11,4.23,65,62,27270,51065,TRUE,"ModerateBurden"
"Burleigh","ND",NA,50.3,44.4028792060296,12.36,8.35,51,45,95626,38015,TRUE,"ModerateBurden"
"Clearfield","PA",NA,49.7,42.1602977037068,12.96,8.6,76,72,79255,42033,TRUE,"ModerateBurden"
"Blair","PA",NA,52.1,44.0480501942204,12.8,8.49,76,76,121829,42013,TRUE,"ModerateBurden"
"Columbia","WI",NA,66.9,60.2207119975386,15.46,9.24,67,80,57532,55021,TRUE,"ModerateBurden"
"Johnson","MO",NA,41.6,37.7484097703948,14.41,8.58,72,74,54062,29101,TRUE,"ModerateBurden"
"Gillespie","TX",NA,53.6,42.3088158037452,10.08,6.69,87,83,26988,48171,TRUE,"ModerateBurden"
"Garland","AR",NA,45.2,36.6899107899762,20.31,13.3,68,88,99386,5051,TRUE,"ModerateBurden"
"Richland","SC",NA,58.8,54.1195447337876,13.17,7.34,65,59,415759,45079,TRUE,"LowBurden"
"Clay","MN",NA,59,53.636642055631,7.62,4.11,69,49,64222,27027,TRUE,"ModerateBurden"
"Vanderburgh","IN",NA,57.1,50.3150669426828,12.78,7.99,72,72,181451,18163,TRUE,"ModerateBurden"
"Somerset","PA",NA,48.1,40.2559709612157,13.04,8.76,76,76,73447,42111,TRUE,"ModerateBurden"
"Saline","AR",NA,50.3,47.4923894596044,19.8,12.92,68,75,122437,5125,TRUE,"ModerateBurden"
"Douglas","NV",NA,50.9,42.1838467613333,12.33,6.62,75,71,48905,32005,TRUE,"Hotspot"
"Salem city","VA",NA,46.7,40.6725301075836,6.76,4.48,65,79,25301,51775,TRUE,"ModerateBurden"
"Eagle","CO",NA,81.9,80.0135372982137,6.52,3.82,58,41,55127,8037,TRUE,"ModerateBurden"
"Yadkin","NC",NA,49.2,41.7188889805913,13.7,10.56,78,83,37667,37197,TRUE,"ModerateBurden"
"Allegany","NY",NA,44.1,38.5225260624536,8.16,5.77,70,56,46091,36003,TRUE,"ModerateBurden"
"Windham","VT",NA,68,63.3587597808479,3.83,2.07,75,71,42222,50025,TRUE,"ModerateBurden"
"Polk","WI",NA,50.7,40.4838198718169,16.46,10.04,67,79,43783,55095,TRUE,"ModerateBurden"
"Sauk","WI",NA,63.4,55.919800419426,15.46,9.24,67,80,64442,55111,TRUE,"ModerateBurden"
"Caldwell","TX",NA,56.6,51.867626955924,12.4,8.27,87,73,43664,48055,TRUE,"ModerateBurden"
"Monroe","FL",NA,77.9,72.0806582203419,13.65,8.9,73,70,74228,12087,TRUE,"ModerateBurden"
"Pope","AR",NA,49.4,44.3689831105376,20.91,13.78,68,57,64072,5115,TRUE,"ModerateBurden"
"Trinity","TX",NA,39.4,31.5045515065815,13.65,9.3,87,86,14651,48455,TRUE,"ModerateBurden"
"Hood","TX",NA,50.3,37.8540222143876,11.34,7.62,87,89,61643,48221,TRUE,"ModerateBurden"
"Teton","WY",NA,92,91.4508132649456,20.5,14.72,37,4,23464,56039,TRUE,"ModerateBurden"
"Washington","FL",NA,32.4,25.1098280036932,15.53,10.3,73,66,25473,12133,TRUE,"ModerateBurden"
"Craig","OK",NA,53,43.2810750712859,20.03,13.86,76,81,14142,40035,TRUE,"ModerateBurden"
"Nassau","FL",NA,57.2,47.2012057465367,15.5,10.39,73,77,88625,12089,TRUE,"ModerateBurden"
"San Miguel","NM",NA,67.3,63.408076921153,6.1,3.14,83,81,27277,35047,TRUE,"ModerateBurdenResolving"
"Mayes","OK",NA,43.3,36.4945457110492,20.03,13.86,76,81,41100,40097,TRUE,"ModerateBurden"
"Macoupin","IL",NA,54.7,46.2168722796198,10.42,6.46,62,0,44926,17117,TRUE,"ModerateBurden"
"Chattooga","GA",NA,37.9,30.7990432813182,16.94,10.79,74,77,24789,13055,TRUE,"ModerateBurden"
"Polk","NC",NA,43.5,35.6205114842749,13.39,10.37,78,72,20724,37149,TRUE,"ModerateBurden"
"Portsmouth city","VA",NA,49.9,45.36133213026,6.51,4.36,65,48,94398,51740,TRUE,"ModerateBurden"
"Geauga","OH",NA,61.1,53.792856793164,11.56,7.07,67,75,93649,39055,TRUE,"ModerateBurden"
"Maverick","TX",NA,93.4,93.1494279801648,10.7,7.05,87,50,58722,48323,TRUE,"ModerateBurden"
"Swain","NC",NA,57,49.582324555461,13.6,10.43,78,44,14271,37173,TRUE,"ModerateBurden"
"Anderson","SC",NA,40.4,33.4440435007565,14.63,8.23,65,63,202558,45007,TRUE,"ModerateBurden"
"Habersham","GA",NA,40,33.0812962676583,16.56,10.61,74,66,45328,13137,TRUE,"ModerateBurden"
"Frederick","VA",NA,47.8,42.1349986767367,6.01,4.12,65,69,89313,51069,TRUE,"ModerateBurdenResolving"
"Lewis","WA",NA,51.1,44.5673584571928,8.53,6.23,78,81,80707,53041,TRUE,"ModerateBurdenResolving"
"Christian","IL",NA,49,40.0903088604683,9.86,6.12,62,56,32304,17021,TRUE,"ModerateBurden"
"Falls Church city","VA",NA,55,52.052651048505,2.69,1.86,65,69,14617,51610,TRUE,"ModerateBurden"
"Cooke","TX",NA,37.7,30.4537513827932,13.17,8.81,87,81,41257,48097,TRUE,"ModerateBurden"
"Duplin","NC",NA,44.5,39.8813938900328,13.83,10.61,78,81,58741,37061,TRUE,"ModerateBurden"
"Allegany","MD",NA,55.8,48.801854846443,9.96,5.38,66,52,70416,24001,TRUE,"ModerateBurden"
"Lyon","NV",NA,41.7,36.5488330627487,12.33,6.62,75,71,57510,32019,TRUE,"Hotspot"
"Lee","NC",NA,56.3,49.9617644523418,11.91,9.15,78,85,61779,37105,TRUE,"ModerateBurden"
"Stokes","NC",NA,46.3,38.879493193052,14.26,11.11,78,83,45591,37169,TRUE,"ModerateBurden"
"Candler","GA",NA,42,34.7871528135035,17.28,11.17,74,61,10803,13043,TRUE,"ModerateBurden"
"Forrest","MS",NA,43.4,38.8279283516584,18.36,12.56,77,90,74897,28035,TRUE,"ModerateBurden"
"Belmont","OH",NA,47.9,39.4961364401665,14.24,8.48,67,62,67006,39013,TRUE,"ModerateBurden"
"Limestone","AL",NA,38.8,33.3514644221629,16,12.07,79,79,98915,1083,TRUE,"ModerateBurden"
"Dyer","TN",NA,40.1,33.4234115616736,14.07,8.84,64,32,37159,47045,TRUE,"ModerateBurden"
"Pottawattamie","IA",NA,57.2,51.1100155211427,13.23,7.95,66,62,93206,19155,TRUE,"ModerateBurden"
